;price ;earnings ;cpi;rates
35796;963.36;39.66;161.6;5.54
35827;1023.74;39.6;161.9;5.57
35855;1076.83;39.54;162.2;5.65
35886;1112.2;39.35;162.5;5.64
35916;1108.42;39.16;162.8;5.65
35947;1108.39;38.97;163;5.5
35977;1156.58;38.68;163.2;5.46
36008;1074.62;38.38;163.4;5.34
36039;1020.64;38.09;163.6;4.81
36069;1032.47;37.96;164;4.53
36100;1144.43;37.84;164;4.83
36130;1190.05;37.71;163.9;4.65
36161;1248.77;37.93;164.3;4.72
36192;1246.58;38.16;164.5;5
36220;1281.66;38.38;165;5.23
36251;1334.76;39.26;166.2;5.18
36281;1332.07;40.14;166.2;5.54
36312;1322.55;41.02;166.2;5.9
36342;1380.99;42;166.7;5.79
36373;1327.49;42.98;167.1;5.94
36404;1318.17;43.96;167.9;5.92
36434;1300.01;45.36;168.2;6.11
36465;1391;46.77;168.3;6.03
36495;1428.68;48.17;168.3;6.28
36526;1425.59;49.1;168.8;6.66
36557;1388.87;50.02;169.8;6.52
36586;1442.21;50.95;171.2;6.26
36617;1461.36;51.27;171.3;5.99
36647;1418.48;51.6;171.5;6.44
36678;1461.96;51.92;172.4;6.1
36708;1473;52.51;172.8;6.05
36739;1485.46;53.11;172.8;5.83
36770;1468.05;53.7;173.7;5.8
36800;1390.14;52.47;174;5.74
36831;1378.04;51.23;174.1;5.72
36861;1330.93;50;174;5.24
36892;1335.63;48.48;175.1;5.16
36923;1305.75;46.96;175.8;5.1
36951;1185.85;45.44;176.2;4.89
36982;1189.84;42.56;176.9;5.14
37012;1270.37;39.67;177.7;5.39
37043;1238.71;36.79;178;5.28
37073;1204.45;33.96;177.5;5.24
37104;1178.5;31.14;177.5;4.97
37135;1044.64;28.31;178.3;4.73
37165;1076.59;27.1;177.7;4.57
37196;1129.68;25.9;177.4;4.65
37226;1144.93;24.69;176.7;5.09
37257;1140.21;24.69;177.1;5.04
37288;1100.67;24.7;177.8;4.91
37316;1153.79;24.7;178.8;5.28
37347;1111.93;25.38;179.8;5.21
37377;1079.25;26.06;179.8;5.16
37408;1014.02;26.74;179.9;4.93
37438;903.59;27.84;180.1;4.65
37469;912.55;28.94;180.7;4.26
37500;867.81;30.04;181;3.87
37530;854.63;29.22;181.3;3.94
37561;909.93;28.41;181.3;4.05
37591;899.18;27.59;180.9;4.03
37622;895.84;28.5;181.7;4.05
37653;837.03;29.41;183.1;3.9
37681;846.63;30.32;184.2;3.81
37712;890.03;31.73;183.8;3.96
37742;935.96;33.14;183.5;3.57
37773;988;34.55;183.7;3.33
37803;992.54;35.89;183.9;3.98
37834;989.53;37.24;184.6;4.45
37865;1019.44;38.58;185.2;4.27
37895;1038.73;41.97;185;4.29
37926;1049.9;45.35;184.5;4.3
37956;1080.64;48.74;184.3;4.27
37987;1132.52;49.83;185.2;4.15
38018;1143.36;50.91;186.2;4.08
38047;1123.98;52;187.4;3.83
38078;1133.36;53.38;188;4.35
38108;1102.78;54.77;189.1;4.72
38139;1132.76;56.15;189.7;4.73
38169;1105.85;56.69;189.4;4.5
38200;1088.94;57.23;189.5;4.28
38231;1117.66;57.77;189.9;4.13
38261;1117.21;58.03;190.9;4.1
38292;1168.94;58.29;191;4.19
38322;1199.21;58.55;190.3;4.23
38353;1181.41;59.11;190.7;4.22
38384;1199.63;59.66;191.8;4.17
38412;1194.9;60.22;193.3;4.5
38443;1164.43;61.23;194.6;4.34
38473;1178.28;62.25;194.4;4.14
38504;1202.25;63.26;194.5;4
38534;1222.24;64.33;195.4;4.18
38565;1224.27;65.4;196.4;4.26
38596;1225.92;66.47;198.8;4.2
38626;1191.96;67.59;199.2;4.46
38657;1237.37;68.71;197.6;4.54
38687;1262.07;69.83;196.8;4.47
38718;1278.73;70.78;198.3;4.42
38749;1276.65;71.72;198.7;4.57
38777;1293.74;72.67;199.8;4.72
38808;1302.17;73.28;201.5;4.99
38838;1290.01;73.88;202.5;5.11
38869;1253.17;74.49;202.9;5.11
38899;1260.24;75.85;203.5;5.09
38930;1287.15;77.21;203.9;4.88
38961;1317.74;78.57;202.9;4.72
38991;1363.38;79.55;201.8;4.73
39022;1388.64;80.53;201.5;4.6
39052;1416.42;81.51;201.8;4.56
39083;1424.16;82.06;202.416;4.76
39114;1444.8;82.6;203.499;4.72
39142;1406.95;83.15;205.352;4.56
39173;1463.64;83.74;206.686;4.69
39203;1511.14;84.33;207.949;4.75
39234;1514.19;84.92;208.352;5.1
39264;1520.71;82.81;208.299;5
39295;1454.62;80.71;207.917;4.67
39326;1497.12;78.6;208.49;4.52
39356;1539.66;74.46;208.936;4.53
39387;1463.39;70.32;210.177;4.15
39417;1479.22;66.18;210.036;4.1
39448;1378.76;64.25;211.08;3.74
39479;1354.87;62.32;211.693;3.74
39508;1316.94;60.39;213.528;3.51
39539;1370.47;57.38;214.823;3.68
39569;1403.22;54.38;216.632;3.88
39600;1341.25;51.37;218.815;4.1
39630;1257.33;49.56;219.964;4.01
39661;1281.47;47.76;219.086;3.89
39692;1216.95;45.95;218.783;3.69
39722;968.8;35.59;216.573;3.81
39753;883.04;25.24;212.425;3.53
39783;877.56;14.88;210.228;2.42
39814;865.58;12.21;211.143;2.52
39845;805.23;9.53;212.193;2.87
39873;757.13;6.86;212.709;2.82
39904;848.15;7.08;213.24;2.93
39934;902.41;7.29;213.856;3.29
39965;926.12;7.51;215.693;3.72
39995;935.82;9.19;215.351;3.56
40026;1009.73;10.86;215.834;3.59
40057;1044.55;12.54;215.969;3.4
40087;1067.66;25.35;216.177;3.39
40118;1088.07;38.16;216.33;3.4
40148;1110.38;50.97;215.949;3.59
40179;1123.58;54.29;216.687;3.73
40210;1089.16;57.61;216.741;3.69
40238;1152.05;60.93;217.631;3.73
40269;1197.32;62.99;218.009;3.85
40299;1125.06;65.04;218.178;3.42
40330;1083.36;67.1;217.965;3.2
40360;1079.8;68.69;218.011;3.01
40391;1087.28;70.27;218.312;2.7
40422;1122.08;71.86;218.439;2.65
40452;1171.58;73.69;218.711;2.54
